# z_Ang d_from_mol_Ang V_A_eV V_B_eV dV_eV dV_mac_eV
6.332744e+00 -4.330233e+01 -7.967221e-01 -7.209157e-01 -8.661196e-03 -8.920671e-03
6.403898e+00 -4.323118e+01 -7.948037e-01 -7.190168e-01 -8.641705e-03 -8.905200e-03
6.475053e+00 -4.316002e+01 -7.765615e-01 -7.007871e-01 -8.629188e-03 -8.889779e-03
6.546207e+00 -4.308887e+01 -7.430711e-01 -6.673104e-01 -8.615538e-03 -8.874330e-03
6.617362e+00 -4.301771e+01 -6.967875e-01 -6.210403e-01 -8.602068e-03 -8.858802e-03
6.688516e+00 -4.294656e+01 -6.417501e-01 -5.660092e-01 -8.595690e-03 -8.843491e-03
6.759670e+00 -4.287541e+01 -5.825987e-01 -5.068642e-01 -8.589372e-03 -8.828751e-03
6.830825e+00 -4.280425e+01 -5.230159e-01 -4.471413e-01 -8.729413e-03 -8.813697e-03
6.901979e+00 -4.273310e+01 -4.649051e-01 -3.889028e-01 -8.857146e-03 -8.798452e-03
6.973134e+00 -4.266194e+01 -4.091879e-01 -3.331897e-01 -8.853033e-03 -8.782710e-03
7.044288e+00 -4.259079e+01 -3.587551e-01 -2.827607e-01 -8.849159e-03 -8.766941e-03
7.115443e+00 -4.251963e+01 -3.158652e-01 -2.398209e-01 -8.899122e-03 -8.750876e-03
7.186597e+00 -4.244848e+01 -2.834153e-01 -2.073948e-01 -8.875400e-03 -8.734411e-03
7.257751e+00 -4.237732e+01 -2.628508e-01 -1.868359e-01 -8.869693e-03 -8.718268e-03
7.328906e+00 -4.230617e+01 -2.532223e-01 -1.771992e-01 -8.877948e-03 -8.701524e-03
7.400060e+00 -4.223502e+01 -2.538949e-01 -1.778978e-01 -8.851871e-03 -8.684514e-03
7.471215e+00 -4.216386e+01 -2.647362e-01 -1.887532e-01 -8.837819e-03 -8.667032e-03
7.542369e+00 -4.209271e+01 -2.850358e-01 -2.090662e-01 -8.824378e-03 -8.648530e-03
7.613524e+00 -4.202155e+01 -3.125658e-01 -2.365904e-01 -8.830264e-03 -8.627741e-03
7.684678e+00 -4.195040e+01 -3.433795e-01 -2.674715e-01 -8.762792e-03 -8.606783e-03
7.755832e+00 -4.187924e+01 -3.725093e-01 -2.966184e-01 -8.745685e-03 -8.585576e-03
7.826987e+00 -4.180809e+01 -3.955586e-01 -3.196810e-01 -8.732393e-03 -8.563929e-03
7.898141e+00 -4.173693e+01 -4.093950e-01 -3.335342e-01 -8.715644e-03 -8.542128e-03
7.969296e+00 -4.166578e+01 -4.120895e-01 -3.362457e-01 -8.698627e-03 -8.519934e-03
8.040450e+00 -4.159463e+01 -4.032360e-01 -3.274116e-01 -8.679226e-03 -8.497425e-03
8.111605e+00 -4.152347e+01 -3.841285e-01 -3.083267e-01 -8.656606e-03 -8.474511e-03
8.182759e+00 -4.145232e+01 -3.573554e-01 -2.815794e-01 -8.630797e-03 -8.451268e-03
8.253913e+00 -4.138116e+01 -3.267352e-01 -2.509719e-01 -8.618101e-03 -8.427765e-03
8.325068e+00 -4.131001e+01 -2.971753e-01 -2.214581e-01 -8.572042e-03 -8.403857e-03
8.396222e+00 -4.123885e+01 -2.732327e-01 -1.975416e-01 -8.545876e-03 -8.380797e-03
8.467377e+00 -4.116770e+01 -2.579544e-01 -1.822928e-01 -8.516416e-03 -8.356830e-03
8.538531e+00 -4.109654e+01 -2.526081e-01 -1.770188e-01 -8.444071e-03 -8.332037e-03
8.609686e+00 -4.102539e+01 -2.575918e-01 -1.819883e-01 -8.458331e-03 -8.306668e-03
8.680840e+00 -4.095424e+01 -2.730960e-01 -1.975236e-01 -8.427203e-03 -8.280889e-03
8.751994e+00 -4.088308e+01 -3.000911e-01 -2.245538e-01 -8.392081e-03 -8.254259e-03
8.823149e+00 -4.081193e+01 -3.386946e-01 -2.631576e-01 -8.391812e-03 -8.227796e-03
8.894303e+00 -4.074077e+01 -3.859339e-01 -3.104331e-01 -8.355632e-03 -8.201053e-03
8.965458e+00 -4.066962e+01 -4.396713e-01 -3.642058e-01 -8.320376e-03 -8.174010e-03
