# z_Ang d_from_mol_Ang V_A_eV V_B_eV dV_eV dV_mac_eV
1.391222e+01 -2.956324e+01 -3.556856e-01 -3.229469e-01 1.966126e-03 1.939191e-03
1.398468e+01 -2.949078e+01 -3.787920e-01 -3.461089e-01 2.021767e-03 2.017208e-03
1.405714e+01 -2.941832e+01 -3.924817e-01 -3.598533e-01 2.076425e-03 2.094604e-03
1.412960e+01 -2.934586e+01 -3.947327e-01 -3.621533e-01 2.125479e-03 2.171402e-03
1.420206e+01 -2.927340e+01 -3.851770e-01 -3.526378e-01 2.165534e-03 2.247766e-03
1.427452e+01 -2.920094e+01 -3.652520e-01 -3.327531e-01 2.205916e-03 2.323814e-03
1.434698e+01 -2.912848e+01 -3.377823e-01 -3.053237e-01 2.246238e-03 2.399841e-03
1.441944e+01 -2.905602e+01 -3.069322e-01 -2.745175e-01 2.290137e-03 2.475904e-03
1.449189e+01 -2.898356e+01 -2.779598e-01 -2.455392e-01 2.284206e-03 2.552197e-03
1.456435e+01 -2.891110e+01 -2.555497e-01 -2.232661e-01 2.421178e-03 2.628627e-03
1.463681e+01 -2.883864e+01 -2.425999e-01 -2.104518e-01 2.556704e-03 2.694170e-03
1.470927e+01 -2.876618e+01 -2.405014e-01 -2.083978e-01 2.601214e-03 2.761147e-03
1.478173e+01 -2.869372e+01 -2.496005e-01 -2.174665e-01 2.570815e-03 2.829555e-03
1.485419e+01 -2.862126e+01 -2.703410e-01 -2.382001e-01 2.563886e-03 2.899588e-03
1.492665e+01 -2.854880e+01 -3.036209e-01 -2.715039e-01 2.587773e-03 2.971618e-03
1.499911e+01 -2.847634e+01 -3.475572e-01 -3.154731e-01 2.620764e-03 3.042569e-03
1.507157e+01 -2.840388e+01 -3.992201e-01 -3.671736e-01 2.658255e-03 3.114707e-03
1.514403e+01 -2.833142e+01 -4.560302e-01 -4.240168e-01 2.691425e-03 3.188574e-03
1.521649e+01 -2.825897e+01 -5.147380e-01 -4.833044e-01 3.271230e-03 3.264032e-03
1.528895e+01 -2.818651e+01 -5.752262e-01 -5.441422e-01 3.620811e-03 3.343079e-03
1.536141e+01 -2.811405e+01 -6.347491e-01 -6.037149e-01 3.670581e-03 3.425668e-03
1.543387e+01 -2.804159e+01 -6.890720e-01 -6.580892e-01 3.722079e-03 3.510189e-03
1.550633e+01 -2.796913e+01 -7.332907e-01 -7.023699e-01 3.783949e-03 3.596690e-03
1.557879e+01 -2.789667e+01 -7.634920e-01 -7.326337e-01 3.846474e-03 3.685255e-03
1.565125e+01 -2.782421e+01 -7.775074e-01 -7.467120e-01 3.909476e-03 3.776030e-03
1.572371e+01 -2.775175e+01 -7.744883e-01 -7.437665e-01 3.982969e-03 3.868841e-03
1.579617e+01 -2.767929e+01 -7.546117e-01 -7.239713e-01 4.064448e-03 3.963602e-03
1.586862e+01 -2.760683e+01 -7.190979e-01 -6.885489e-01 4.155762e-03 4.060217e-03
1.594108e+01 -2.753437e+01 -6.707266e-01 -6.402756e-01 4.253812e-03 4.158708e-03
1.601354e+01 -2.746191e+01 -6.138960e-01 -5.835533e-01 4.362054e-03 4.259074e-03
1.608600e+01 -2.738945e+01 -5.534766e-01 -5.232446e-01 4.472800e-03 4.362547e-03
1.615846e+01 -2.731699e+01 -4.934222e-01 -4.627373e-01 4.019953e-03 4.466563e-03
1.623092e+01 -2.724453e+01 -4.346556e-01 -4.041148e-01 4.164048e-03 4.568802e-03
1.630338e+01 -2.717207e+01 -3.790351e-01 -3.486356e-01 4.305311e-03 4.673047e-03
1.637584e+01 -2.709961e+01 -3.296342e-01 -2.993789e-01 4.449584e-03 4.780975e-03
1.644830e+01 -2.702715e+01 -2.887269e-01 -2.586120e-01 4.589953e-03 4.892662e-03
1.652076e+01 -2.695469e+01 -2.595797e-01 -2.295666e-01 4.691713e-03 5.006208e-03
1.659322e+01 -2.688224e+01 -2.428495e-01 -2.129179e-01 4.773207e-03 5.121811e-03
1.666568e+01 -2.680978e+01 -2.374799e-01 -2.076868e-01 4.911743e-03 5.239304e-03
1.673814e+01 -2.673732e+01 -2.431317e-01 -2.134767e-01 5.049832e-03 5.358823e-03
1.681060e+01 -2.666486e+01 -2.592281e-01 -2.297757e-01 5.252339e-03 5.467606e-03
1.688306e+01 -2.659240e+01 -2.841293e-01 -2.548378e-01 5.413331e-03 5.567915e-03
1.695552e+01 -2.651994e+01 -3.141432e-01 -2.849853e-01 5.546845e-03 5.669282e-03
1.702798e+01 -2.644748e+01 -3.441864e-01 -3.151672e-01 5.685665e-03 5.771622e-03
1.710044e+01 -2.637502e+01 -3.692456e-01 -3.403709e-01 5.830057e-03 5.874634e-03
1.717290e+01 -2.630256e+01 -3.856425e-01 -3.569174e-01 5.979754e-03 5.978250e-03
1.724535e+01 -2.623010e+01 -3.910144e-01 -3.624259e-01 6.116338e-03 6.082472e-03
1.731781e+01 -2.615764e+01 -3.845009e-01 -3.560364e-01 6.240256e-03 6.187072e-03
1.739027e+01 -2.608518e+01 -3.670934e-01 -3.387489e-01 6.360359e-03 6.292042e-03
1.746273e+01 -2.601272e+01 -3.412735e-01 -3.130500e-01 6.481357e-03 6.397317e-03
1.753519e+01 -2.594026e+01 -3.108244e-01 -2.827255e-01 6.605901e-03 6.502750e-03
1.760765e+01 -2.586780e+01 -2.808309e-01 -2.528596e-01 6.733514e-03 6.608220e-03
1.768011e+01 -2.579534e+01 -2.562954e-01 -2.284845e-01 6.893896e-03 6.713544e-03
1.775257e+01 -2.572288e+01 -2.407678e-01 -2.130160e-01 6.952964e-03 6.834194e-03
1.782503e+01 -2.565042e+01 -2.357465e-01 -2.081254e-01 7.083736e-03 6.958519e-03
1.789749e+01 -2.557796e+01 -2.417720e-01 -2.142789e-01 7.211737e-03 7.082006e-03
1.796995e+01 -2.550551e+01 -2.592460e-01 -2.319077e-01 7.366441e-03 7.204614e-03
1.804241e+01 -2.543305e+01 -2.891896e-01 -2.619550e-01 7.470228e-03 7.326281e-03
1.811487e+01 -2.536059e+01 -3.306791e-01 -3.035660e-01 7.591702e-03 7.448105e-03
1.818733e+01 -2.528813e+01 -3.804762e-01 -3.534819e-01 7.710464e-03 7.572976e-03
1.825979e+01 -2.521567e+01 -4.362699e-01 -4.093958e-01 7.830717e-03 7.697101e-03
1.833225e+01 -2.514321e+01 -4.950311e-01 -4.682752e-01 7.948913e-03 7.820468e-03
1.840471e+01 -2.507075e+01 -5.554633e-01 -5.286925e-01 7.934101e-03 7.939629e-03
1.847717e+01 -2.499829e+01 -6.156261e-01 -5.889506e-01 8.029349e-03 8.056643e-03
1.854962e+01 -2.492583e+01 -6.718453e-01 -6.452632e-01 8.122690e-03 8.171793e-03
1.862208e+01 -2.485337e+01 -7.192245e-01 -6.927332e-01 8.213468e-03 8.286446e-03
1.869454e+01 -2.478091e+01 -7.534574e-01 -7.270545e-01 8.301981e-03 8.400807e-03
1.876700e+01 -2.470845e+01 -7.719087e-01 -7.455949e-01 8.391030e-03 8.515235e-03
1.883946e+01 -2.463599e+01 -7.734422e-01 -7.472181e-01 8.480735e-03 8.629498e-03
1.891192e+01 -2.456353e+01 -7.579687e-01 -7.318421e-01 8.578189e-03 8.743755e-03
1.898438e+01 -2.449107e+01 -7.264062e-01 -7.003839e-01 8.682556e-03 8.857870e-03
1.905684e+01 -2.441861e+01 -6.810600e-01 -6.551427e-01 8.787461e-03 8.971703e-03
1.912930e+01 -2.434615e+01 -6.259670e-01 -6.001595e-01 8.897252e-03 9.085264e-03
